CharacteristicName,derived_characteristic_group,record_count,record_pct,numeric_count,numeric_pct_within_characteristic,missing_result_count,negative_count,non_detect_count,site_count,provider_count,organization_count,unit_count,dominant_unit,dominant_unit_count,dominant_unit_pct,top_units,active_years,all_baseline_years_present,three_year_continuity_candidate,first_date,last_date,min_numeric_value,max_numeric_value,modeling_candidate,candidate_reason
"Temperature, water",Temperature,206866,6.5705787887565865,206691,99.91540417468313,175,0,0,16618,2,94,3,deg C,194764,94.14983612580124,"deg C: 194,764; deg F: 12,060; Missing unit: 42",3,True,True,2021-01-02,2023-12-31,0.0,741.0,True,candidate after filtering/reviewing dominant unit
pH,pH,203293,6.457091420062712,203076,99.89325751501528,217,0,0,16328,2,93,2,Unitless,202289,99.50613154412596,"Unitless: 202,289; std units: 1,004",3,True,True,2021-01-03,2023-12-31,0.0,259.0,True,candidate after filtering/reviewing dominant unit
Dissolved oxygen (DO),Dissolved oxygen,201595,6.4031587158807355,201236,99.82192018651256,359,0,0,16015,1,90,4,mg/L,201387,99.896822837868,"mg/L: 201,387; %: 108; Missing unit: 97; ppm: 3",3,True,True,2021-01-02,2023-12-31,0.0,123.5,True,candidate after filtering/reviewing dominant unit
Phosphorus,Phosphorus / orthophosphate,168181,5.341846950547077,167865,99.812107194035,316,5,55,15460,2,90,5,mg/L,125305,74.50603813748283,"mg/L: 125,305; ug/L: 42,325; mg/l as P: 349; Missing unit: 201; ppb: 1",3,True,True,2021-01-01,2023-12-31,-0.2691,2392.0,True,candidate after filtering/reviewing dominant unit
Dissolved oxygen saturation,Dissolved oxygen,165317,5.250879185660634,165044,99.83486271829274,273,0,0,13186,1,77,2,%,165220,99.94132484862416,"%: 165,220; Missing unit: 97",3,True,True,2021-01-02,2023-12-31,0.0,291.6,True,candidate after filtering/reviewing dominant unit
Turbidity,Turbidity,112839,3.5840473540577213,110534,97.9572665479134,2305,33,8,12428,2,84,5,NTU,112039,99.29102526608709,"NTU: 112,039; FNU: 575; Missing unit: 184; NTRU: 38; JTU: 3",3,True,True,2021-01-03,2023-12-31,-2.3,2020.0,True,candidate after filtering/reviewing dominant unit
Ammonia,Nitrogen / nitrate / nitrite / ammonia,93833,2.9803695120773686,93520,99.66642865516397,313,63,50,12228,1,76,3,mg/L,92928,99.03552055247089,"mg/L: 92,928; ug/L: 713; Missing unit: 192",3,True,True,2021-01-04,2023-12-28,-0.009577,217.0,True,candidate after filtering/reviewing dominant unit
Total Kjeldahl nitrogen (Organic N & NH3),Nitrogen / nitrate / nitrite / ammonia,91396,2.9029643294557688,91057,99.62908661210557,339,1,53,11769,1,81,3,mg/L,91180,99.76366580594338,"mg/L: 91,180; Missing unit: 179; ug/L: 37",3,True,True,2021-01-04,2023-12-27,-0.0003,2700.0,True,candidate after filtering/reviewing dominant unit
Nitrate + Nitrite,Nitrogen / nitrate / nitrite / ammonia,86456,2.7460576400217507,86125,99.61714629406866,331,10,133,11284,1,86,3,mg/L,85464,98.85259553992782,"mg/L: 85,464; ug/L: 826; Missing unit: 166",3,True,True,2021-01-04,2023-12-28,-0.0092,1900.0,True,candidate after filtering/reviewing dominant unit
Orthophosphate,Phosphorus / orthophosphate,86177,2.7371959059423805,85763,99.51959339498939,414,24,178,10354,2,71,5,mg/L,84546,98.10738364064657,"mg/L: 84,546; ug/L: 826; Missing unit: 275; mg/l asPO4: 265; mg/l as P: 265",3,True,True,2021-01-04,2023-12-28,-0.0175,270.0,True,candidate after filtering/reviewing dominant unit
