model,split,row_count,unique_site_count,positive_rate_pct,predicted_positive_rate_pct,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision_pr_auc,train_row_count,test_row_count,unique_train_sites,unique_test_sites,train_test_site_overlap
majority_class_baseline,train,41776,10016,35.95844504021448,0.0,0.6404155495978552,0.5,0.0,0.0,0.0,0.5,0.35958445040214476,41776,10593,10016,2505,0
majority_class_baseline,test,10593,2505,33.5315774568111,0.0,0.664684225431889,0.5,0.0,0.0,0.0,0.5,0.335315774568111,41776,10593,10016,2505,0
logistic_regression,train,41776,10016,35.95844504021448,40.61422826503255,0.6923831865185752,0.6802398345325862,0.5639771320799198,0.6369990680335508,0.5982681546781706,0.7530096883545159,0.5925380107093914,41776,10593,10016,2505,0
logistic_regression,test,10593,2505,33.5315774568111,41.055413952610216,0.6844142358161049,0.6738090148627537,0.5240285123016786,0.6416103603603603,0.5768890013922289,0.7418609758032426,0.5497965142338974,41776,10593,10016,2505,0
decision_tree,train,41776,10016,35.95844504021448,49.1837418613558,0.7250813864419763,0.7418639475289721,0.5860709592641261,0.8016242843829051,0.6771064691163654,0.8247485320849149,0.6983700812036946,41776,10593,10016,2505,0
decision_tree,test,10593,2505,33.5315774568111,49.409987727744735,0.7022562069291042,0.7246878322719823,0.5380206343141001,0.7927927927927928,0.6410198042340086,0.811339087276454,0.6587458100557848,41776,10593,10016,2505,0
gradient_boosting,train,41776,10016,35.95844504021448,30.9340291076216,0.7854988510149368,0.7518153733846907,0.7345043720498337,0.6318732525629077,0.6793344068706387,0.8583671585330377,0.7749247384869565,41776,10593,10016,2505,0
gradient_boosting,test,10593,2505,33.5315774568111,30.161427357689043,0.7825922779193807,0.743686232568316,0.6954616588419406,0.6255630630630631,0.6586631095301616,0.8479283701575456,0.7370340636043868,41776,10593,10016,2505,0
random_forest,train,41776,10016,35.95844504021448,44.484871696667945,0.7713998468019916,0.7778224241982159,0.6472234179939733,0.8006923179336972,0.7158245551389633,0.8672106805212263,0.7871359317575243,41776,10593,10016,2505,0
random_forest,test,10593,2505,33.5315774568111,43.89691305579156,0.7521004436892287,0.7602294188095211,0.5995698924731183,0.7849099099099099,0.6798341867837113,0.8516155895456597,0.740524526766678,41776,10593,10016,2505,0
